acc_x[mg],acc_y[mg],acc_z[mg]
528.02,-300.36,842.53
522.77,-289.63,838.87
517.04,-281.45,829.60
514.84,-275.60,815.81
514.84,-275.11,804.59
516.79,-273.77,801.30
518.13,-271.33,796.66
522.04,-275.23,787.75
529.24,-283.04,785.07
536.56,-289.26,788.97
542.78,-291.58,794.10
545.10,-297.19,799.59
545.83,-300.12,807.64
541.92,-298.53,813.86
538.02,-297.44,812.28
533.14,-295.97,816.55
531.92,-295.36,817.77
531.92,-295.85,819.23
534.36,-296.09,822.04
538.51,-295.85,823.38
541.56,-295.12,828.14
541.92,-297.07,826.92
538.14,-289.63,826.31
544.24,-293.17,821.18
537.78,-285.36,820.69
533.02,-287.19,810.69
528.75,-289.14,800.56
532.29,-286.94,800.44
533.02,-286.70,800.32
533.02,-282.80,801.66
531.68,-281.94,804.10
532.29,-290.73,806.18
535.70,-297.80,811.18
537.53,-292.68,818.74
544.49,-298.29,819.47
549.85,-300.97,824.60
553.15,-303.78,825.33
545.71,-300.97,821.43
540.34,-295.85,815.57
535.95,-292.43,812.76
532.65,-286.70,816.91
533.26,-279.26,816.18
529.85,-279.62,809.10
530.82,-281.09,807.15
527.77,-276.82,810.08
526.43,-273.77,806.54
528.26,-277.55,806.18
529.85,-281.45,807.64
532.53,-281.82,808.74
534.85,-281.45,814.59
540.34,-284.63,820.45
538.75,-285.85,820.69
539.36,-287.31,817.40
541.31,-287.92,820.33
540.70,-288.65,819.72
538.26,-288.16,817.40
536.80,-289.02,813.86
539.73,-288.77,813.37
539.85,-286.94,813.37
540.22,-285.60,812.28
536.07,-286.33,810.57
536.56,-281.21,811.06
539.97,-283.16,811.91
537.29,-280.48,810.69
531.43,-279.14,808.37
532.29,-277.31,811.91
538.63,-279.14,821.30
534.24,-285.48,817.16
526.19,-288.41,806.18
530.58,-293.90,806.05
535.70,-291.21,813.01
538.87,-287.68,815.45
541.07,-287.68,820.57
541.80,-287.80,825.57
536.43,-286.46,826.18
533.02,-279.62,826.06
530.82,-279.01,820.08
530.58,-283.28,811.91
534.97,-282.31,812.15
539.36,-280.72,815.81
539.73,-283.89,810.08
539.24,-289.51,802.76
539.00,-291.95,802.64
537.17,-289.14,806.18
535.58,-284.99,809.23
534.48,-280.60,815.57
535.58,-283.04,817.89
532.90,-282.80,819.47
531.31,-279.14,827.65
529.97,-281.94,828.87
526.19,-285.24,819.84
525.94,-285.11,817.64
530.09,-286.09,817.28
533.63,-281.33,821.30
536.31,-285.48,819.60
531.19,-286.09,816.06
534.24,-284.63,818.13
534.73,-284.26,816.55
534.73,-278.40,816.18
531.68,-281.21,813.50
538.39,-284.50,816.91
550.22,-293.41,826.06
549.73,-294.75,832.16
537.65,-290.24,840.09
539.73,-288.53,839.85
540.34,-291.09,833.26
539.48,-293.17,817.89
536.07,-286.94,807.88
532.53,-284.26,799.34
523.01,-275.96,797.03
518.50,-262.79,804.96
516.06,-260.23,812.76
515.82,-261.45,814.11
515.94,-260.84,815.20
518.38,-261.08,819.47
528.38,-266.57,823.62
535.95,-276.82,821.18
533.75,-279.87,817.28
533.63,-278.04,818.50
533.99,-279.62,820.21
532.65,-277.43,823.26
532.16,-275.48,823.74
