acc_x[mg],acc_y[mg],acc_z[mg]
562.42,-168.24,827.77
554.25,-165.68,825.09
552.29,-162.14,824.96
552.90,-159.70,831.06
556.69,-166.65,833.87
558.88,-170.68,833.87
560.59,-175.44,830.82
562.05,-176.17,833.63
562.54,-177.75,840.34
563.52,-175.44,849.97
570.35,-176.66,857.29
565.47,-172.14,850.95
557.54,-174.34,835.94
555.22,-174.95,828.38
551.20,-173.85,813.25
550.59,-169.70,805.08
560.22,-171.65,814.84
565.47,-170.56,821.67
564.13,-171.17,816.91
563.64,-173.24,821.06
567.42,-178.12,830.58
559.74,-173.36,827.28
555.83,-172.26,819.96
556.08,-169.70,822.04
558.39,-178.24,821.06
559.86,-179.22,821.91
564.37,-181.29,823.38
569.01,-182.27,830.45
570.72,-185.44,832.53
565.23,-185.68,827.77
564.37,-184.95,827.89
562.18,-180.68,826.43
562.05,-182.02,825.57
560.35,-182.63,825.09
562.66,-181.17,823.62
565.47,-179.46,827.28
572.30,-184.83,830.58
568.76,-183.98,834.72
563.03,-182.88,828.75
555.10,-179.22,823.26
555.22,-179.22,820.69
559.74,-182.63,823.99
564.25,-183.98,829.23
564.49,-182.15,827.40
563.27,-181.29,821.91
564.74,-180.68,826.06
566.81,-180.80,828.01
559.74,-178.97,821.43
557.66,-181.29,823.01
559.98,-179.95,830.33
555.22,-179.34,822.16
553.15,-179.34,815.81
561.08,-179.71,824.84
562.66,-182.63,828.99
564.01,-182.76,829.23
565.59,-185.93,828.87
559.98,-181.90,827.53
561.20,-183.85,823.26
562.30,-184.95,824.72
570.47,-184.83,832.28
569.25,-189.47,826.79
560.59,-182.63,814.96
565.71,-187.39,822.89
568.89,-188.12,827.28
563.52,-185.20,823.38
563.27,-185.44,829.23
562.91,-182.76,831.19
560.35,-184.34,825.21
559.86,-184.22,821.30
561.44,-183.73,821.43
565.35,-184.22,825.45
564.62,-178.61,828.75
563.27,-177.14,825.45
561.44,-181.54,822.52
559.25,-178.36,820.94
561.08,-177.39,825.09
559.49,-179.71,824.23
557.42,-181.05,822.16
563.27,-181.17,828.38
561.57,-181.66,829.48
557.91,-178.49,825.33
559.25,-179.34,825.70
560.83,-181.78,821.67
561.57,-181.90,822.65
567.42,-184.22,829.23
572.91,-185.56,829.60
567.79,-183.24,830.21
563.15,-182.02,827.40
559.74,-182.39,820.21
562.66,-181.90,822.52
567.79,-182.63,828.50
568.40,-181.29,828.26
567.42,-182.27,823.99
565.35,-180.07,820.82
565.35,-182.27,818.13
562.05,-175.68,821.55
560.71,-172.39,821.79
557.66,-173.97,820.69
558.88,-177.75,820.94
558.64,-178.00,821.18
563.76,-181.05,824.72
566.08,-178.24,831.06
565.71,-180.68,831.55
564.37,-181.78,827.28
562.30,-181.90,824.23
563.15,-181.05,825.82
563.27,-179.95,828.14
560.83,-178.36,827.89
