acc_x[mg],acc_y[mg],acc_z[mg]
191.78,792.76,498.49
220.58,774.09,462.99
233.26,770.92,454.57
209.72,791.29,480.07
180.44,808.13,497.27
182.63,793.61,503.98
166.77,808.98,495.44
149.69,828.50,489.59
173.85,817.16,494.95
184.59,799.59,491.42
157.50,828.62,483.61
152.13,848.14,494.22
165.80,829.48,497.39
170.80,817.77,489.83
166.04,813.86,503.86
157.26,815.20,523.26
154.70,813.37,538.14
151.52,818.38,546.93
145.30,834.48,539.24
146.77,824.84,519.84
150.30,825.45,496.78
154.33,831.67,493.98
157.99,833.14,506.06
165.31,818.50,514.23
163.48,817.28,513.99
170.68,817.77,518.13
180.32,815.08,518.01
181.17,801.17,507.03
168.73,820.33,513.25
166.04,814.96,527.16
162.99,803.37,533.26
165.19,798.25,538.26
161.41,807.27,553.39
161.53,810.69,559.13
166.65,811.30,550.10
172.26,809.59,534.36
175.19,813.74,522.40
178.24,814.23,521.55
189.34,810.81,530.70
197.88,790.80,535.82
195.32,788.49,539.00
187.76,798.61,542.29
180.56,804.10,538.51
171.04,802.64,529.11
152.01,819.35,520.33
146.28,828.14,518.13
148.47,821.06,513.25
152.62,818.62,510.57
155.31,815.57,518.87
159.70,815.20,525.70
168.36,802.52,529.85
170.19,791.05,528.38
158.23,800.69,530.58
147.99,826.06,541.80
167.99,809.10,555.10
188.49,798.49,541.31
205.08,781.41,529.85
204.59,785.92,533.75
203.01,803.74,556.20
209.11,797.39,587.31
210.57,783.36,580.11
209.72,769.21,563.15
207.52,785.80,558.27
215.94,781.29,567.67
219.23,778.85,565.96
206.55,795.81,563.64
186.29,810.20,566.57
183.12,789.46,556.56
186.90,789.10,539.85
198.98,805.08,529.11
202.15,798.73,523.87
193.49,791.17,512.52
188.73,782.75,514.84
184.22,805.69,530.21
179.46,803.98,540.34
176.78,816.06,541.56
178.12,797.39,545.58
167.38,783.48,534.36
160.31,796.78,534.85
164.70,804.22,548.27
166.77,806.66,547.05
175.68,798.73,542.53
191.54,816.42,543.14
217.65,804.35,556.56
225.70,762.38,559.13
212.52,767.75,556.44
215.09,784.09,565.84
216.55,783.85,562.54
203.01,774.82,535.58
188.12,786.17,522.16
168.48,809.84,527.65
155.67,814.47,535.82
152.87,813.01,548.02
159.82,818.50,559.25
173.48,811.79,565.35
197.15,776.16,562.30
216.43,756.52,557.30
214.35,779.34,562.54
226.68,781.65,562.91
219.36,780.68,548.88
218.75,775.43,532.90
213.62,755.06,532.41
182.63,786.29,536.07
160.31,808.74,550.83
141.76,814.11,557.66
138.10,820.33,559.61
146.40,812.28,566.93
152.26,810.69,577.55
172.75,798.86,585.11
193.49,790.44,581.21
208.38,781.29,566.08
202.40,784.46,550.34
201.91,805.08,543.51
216.43,799.95,549.98
227.16,790.07,539.24
229.12,785.92,525.21
225.21,788.24,517.04
215.82,793.85,512.16
210.57,791.29,514.84
204.96,787.39,512.16
198.13,787.63,504.71
188.00,794.46,504.59
178.85,807.88,512.64
180.07,809.59,525.70
179.83,803.13,534.24
178.85,803.37,541.31
182.02,801.42,555.83
175.44,796.05,563.15
167.26,796.17,565.47
163.72,797.39,569.74
