acc_x[mg],acc_y[mg],acc_z[mg]
478.85,177.14,865.59
463.97,190.56,846.31
483.24,157.75,858.51
473.24,189.59,897.43
477.63,175.92,885.48
468.36,180.68,882.43
478.24,171.78,884.26
471.16,181.05,887.55
472.02,183.73,878.40
470.31,183.24,871.20
470.55,189.83,870.47
472.87,195.44,871.08
474.82,200.08,863.15
482.75,200.45,853.39
489.10,201.54,856.20
492.03,202.89,857.78
494.47,207.16,854.49
494.22,198.13,841.43
485.44,199.35,833.87
483.00,206.79,836.92
480.80,215.21,847.78
478.24,207.16,857.66
464.94,221.06,873.28
454.69,232.41,877.18
448.35,244.00,879.86
451.77,239.61,879.62
461.28,224.60,865.35
467.38,236.68,860.34
478.12,233.39,857.78
484.58,232.65,852.66
490.56,257.54,861.08
506.06,223.26,846.44
490.56,230.34,830.82
484.22,252.91,829.84
481.90,263.40,840.46
479.95,230.09,826.43
462.38,245.83,825.45
465.06,265.59,848.75
474.70,257.42,848.63
467.26,246.56,826.92
462.14,251.69,817.77
467.02,244.98,823.62
469.94,236.44,833.02
463.97,237.17,844.00
464.45,231.92,854.85
468.11,227.77,865.59
478.97,209.23,876.08
481.29,204.96,879.01
502.88,193.49,882.18
507.52,179.95,886.94
487.76,206.55,874.86
486.66,199.10,863.52
464.33,215.82,849.73
467.63,204.72,847.17
477.02,217.40,860.47
495.32,226.07,871.57
498.25,227.04,868.88
493.49,223.50,862.30
488.24,225.70,855.83
482.88,232.29,853.63
489.71,228.63,852.05
492.76,207.52,830.33
482.88,219.23,808.86
468.60,223.87,801.78
458.96,220.33,806.18
461.04,228.02,826.92
466.89,236.68,857.54
478.73,242.17,879.50
484.22,233.51,892.67
481.90,237.05,900.36
476.53,234.97,899.14
467.75,233.39,893.28
457.50,242.66,887.55
450.42,244.73,880.23
439.81,238.75,865.47
427.00,239.85,851.07
414.80,244.98,838.75
403.82,244.73,832.89
400.89,250.22,837.16
405.41,268.16,853.51
426.39,259.62,863.52
441.88,234.36,859.98
452.62,238.14,862.17
457.62,233.26,862.42
451.52,225.70,857.29
437.00,229.60,872.30
436.52,241.32,902.68
442.62,241.93,919.51
445.67,222.04,902.68
441.64,208.01,870.23
441.03,216.79,856.07
443.59,231.31,871.81
449.94,214.23,882.06
444.20,207.52,874.01
438.71,204.84,861.08
445.54,219.36,857.90
465.31,222.28,860.34
484.22,205.33,861.20
491.54,175.07,850.22
490.56,177.27,841.19
504.47,226.19,860.71
517.28,233.26,900.97
500.44,190.93,903.17
481.17,170.68,875.35
465.06,205.69,871.20
484.10,200.45,891.82
510.94,206.91,950.99
507.52,208.13,978.93
494.95,207.89,953.67
464.82,210.45,889.01
453.35,226.68,833.63
457.99,238.88,821.91
479.58,255.35,843.87
490.07,204.35,833.63
476.41,155.55,777.75
461.16,163.72,740.91
459.94,169.34,750.42
467.14,187.15,793.49
477.87,206.79,839.48
492.15,209.60,871.57
502.64,213.01,874.25
509.84,198.01,858.88
514.35,196.18,843.63
523.26,210.21,849.61
532.41,204.96,874.50
528.99,187.51,887.55
507.03,182.02,893.41
490.07,201.42,907.19
475.68,222.89,905.97
473.60,217.65,869.74
478.97,200.08,825.21
489.59,174.22,787.14
491.90,152.87,779.82
489.46,174.34,824.60
493.98,166.53,868.64
498.49,173.61,891.94
494.10,169.82,895.11
488.24,177.02,888.16
468.36,172.14,877.91
454.69,180.07,855.34
455.30,162.38,817.64
463.23,175.44,828.87
486.29,205.81,887.79
503.49,206.55,922.93
488.49,215.82,911.10
478.48,253.88,921.71
490.32,238.63,974.41
520.57,90.40,893.41
522.16,49.17,780.68
487.63,109.56,792.51
490.32,152.13,855.10
512.52,171.04,897.68
519.35,181.90,906.70
511.18,174.58,872.67
500.44,196.79,827.40
507.15,188.86,810.45
490.32,198.98,803.13
458.23,230.95,809.96
444.45,247.17,823.62
445.42,234.61,815.33
451.28,213.38,797.39
464.58,188.12,796.54
481.53,190.08,812.52
497.52,189.34,828.38
518.74,175.07,827.40
534.60,165.43,829.60
540.22,161.41,845.09
536.68,144.57,857.66
526.67,155.67,888.28
533.02,159.58,923.30
533.63,148.23,942.57
513.38,146.16,933.91
482.88,165.07,914.27
445.06,188.25,907.31
431.51,193.13,899.38
425.90,210.21,891.70
433.95,218.01,886.70
444.45,226.55,883.28
450.55,219.23,863.03
450.91,218.62,836.07
462.87,225.58,835.46
487.27,213.99,846.44
489.34,203.86,845.09
485.07,209.35,838.87
480.19,218.50,839.97
474.95,216.55,843.63
476.78,217.89,857.42
483.00,211.55,872.30
482.02,201.30,871.57
473.60,201.06,854.85
472.14,201.79,857.78
479.95,199.47,863.27
493.25,181.66,851.80
497.88,176.66,838.75
502.52,180.32,842.65
511.42,177.27,855.22
512.03,173.61,863.76
507.40,175.56,869.13
509.72,164.94,865.71
522.04,151.16,861.32
518.74,165.92,876.33
511.67,170.43,880.96
496.17,185.07,874.01
481.17,194.10,866.08
474.21,204.96,855.95
491.29,187.15,847.05
500.69,162.87,854.37
475.19,168.12,876.81
460.67,202.52,896.58
461.89,199.84,906.83
474.46,184.10,896.82
461.89,184.22,882.79
448.96,206.18,876.45
436.27,227.41,873.03
445.18,235.58,861.20
481.17,207.40,845.46
525.58,171.65,835.82
529.72,165.19,838.99
512.16,189.71,830.82
498.49,199.23,821.79
486.29,202.64,827.40
462.87,237.66,875.84
462.01,220.33,897.55
454.21,210.94,879.74
428.22,220.58,851.32
423.10,226.92,837.77
453.11,213.01,834.11
470.43,214.23,842.17
480.92,213.74,852.90
484.95,208.50,852.17
484.22,200.93,849.97
490.07,195.93,846.31
494.59,202.64,853.02
490.68,207.64,863.27
473.60,210.82,864.49
463.60,211.43,856.07
472.87,198.49,841.56
485.80,197.52,847.66
492.03,204.11,868.27
507.76,200.20,872.91
502.03,188.12,868.88
467.38,202.03,879.50
462.62,189.10,866.57
480.56,159.94,829.84
478.85,192.03,842.53
496.78,196.91,866.57
513.01,182.63,871.45
530.82,161.41,860.34
533.99,157.14,843.39
535.21,153.96,835.70
526.43,169.58,849.85
525.33,163.72,851.56
